2.872083033850389988e-01 1.771265450415148734e+01 2.442414012146404190e+00 7.573644743955591174e+00
2.971774180230104534e-01 1.779615565501844188e+01 2.406167280263232122e+00 7.301462393395220296e+00
3.071465326609819080e-01 1.787819697208569281e+01 2.370891321213761227e+00 7.079469045207978262e+00
3.171156472989533626e-01 1.795882873832445270e+01 2.335059350244601095e+00 6.901551386851033421e+00
3.270847619369247616e-01 1.803734867668907427e+01 2.298557606534546327e+00 6.713878557089366872e+00
3.370538765748962162e-01 1.811304958597488479e+01 2.261415082142996802e+00 6.507160197204508556e+00
3.470229912128676708e-01 1.818639438029115496e+01 2.223482916543339627e+00 6.323186523492557498e+00
3.569921058508391254e-01 1.825772079131571601e+01 2.184966593706520577e+00 6.133222771029554821e+00
3.669612204888105800e-01 1.832659496532524912e+01 2.145373667022845598e+00 5.943150799043025678e+00
3.769303351267819790e-01 1.839353647326522889e+01 2.103081238641866246e+00 5.845938277816554063e+00
3.868994497647534336e-01 1.845972547584599610e+01 2.059117872105795222e+00 5.848494200345244032e+00
3.968685644027248882e-01 1.852536513006435825e+01 2.016879486623266882e+00 5.898469253947902224e+00
4.068376790406963428e-01 1.859024123486890900e+01 1.977836476779033958e+00 5.995310968624040449e+00
4.168067936786677974e-01 1.865463389439067043e+01 1.942589763991585450e+00 6.107451345762401118e+00
4.267759083166392520e-01 1.871786569230444286e+01 1.911540307223432045e+00 6.133030782315400664e+00
4.367450229546106510e-01 1.877902381264485143e+01 1.883277856019700547e+00 6.100591786878063694e+00
4.467141375925821611e-01 1.883881091558839671e+01 1.855189563122684238e+00 6.077371588650056999e+00
4.566832522305536712e-01 1.889775465114621511e+01 1.827072261978146095e+00 6.029468089627409100e+00
4.666523668685251258e-01 1.895546345112020248e+01 1.800292724765135910e+00 5.949386434036435745e+00
4.766214815064966359e-01 1.901184643380634043e+01 1.774497823134769448e+00 5.865632640512747464e+00
4.865905961444680905e-01 1.906680592625403037e+01 1.747908260928430879e+00 5.739100492199728620e+00
4.965597107824396561e-01 1.911974294808768349e+01 1.719459613499281669e+00 5.542392959189388790e+00
5.065288254204111107e-01 1.917040349710147495e+01 1.689358437147673975e+00 5.342672386926709649e+00
5.164979400583825653e-01 1.921944661242651264e+01 1.657552263767037903e+00 5.217695355016245706e+00
5.264670546963541309e-01 1.926788233249400406e+01 1.623851081781410688e+00 5.170098312091292669e+00
5.364361693343255855e-01 1.931630233962635756e+01 1.588443190073606015e+00 5.138297438956959340e+00
5.464052839722970401e-01 1.936466273337812538e+01 1.553169025623496236e+00 5.081136310729238659e+00
5.563743986102684946e-01 1.941257514323615396e+01 1.520282800615414542e+00 5.006867890764330475e+00
5.663435132482400602e-01 1.945984707948509396e+01 1.490161377791214825e+00 4.967630078189642973e+00
5.763126278862115148e-01 1.950699251841456672e+01 1.462365302993404281e+00 5.036283697296354056e+00
5.862817425241830804e-01 1.955493515840568719e+01 1.435199391877528985e+00 5.199959431330505311e+00
5.962508571621545350e-01 1.960378061865249322e+01 1.406691656894457410e+00 5.356287812354233679e+00
6.062199718001259896e-01 1.965290971551980093e+01 1.376885667036204408e+00 5.453537692403044979e+00
6.161890864380974442e-01 1.970170292101722964e+01 1.346814496135285255e+00 5.500902091151623985e+00
6.261582010760690098e-01 1.974974891016302081e+01 1.317177304992559694e+00 5.517938993068331577e+00
6.361273157140405754e-01 1.979706754557577142e+01 1.288540793914679128e+00 5.544717372345057349e+00
6.460964303520120300e-01 1.984395582805120029e+01 1.259856577273504863e+00 5.605989708190327825e+00
6.560655449899834846e-01 1.989071726818548669e+01 1.230027651567708435e+00 5.683113550837877170e+00
6.660346596279549392e-01 1.993726195806858925e+01 1.198751556629662929e+00 5.731572647626522965e+00
6.760037742659265048e-01 1.998324791584886739e+01 1.166317714428288133e+00 5.746046139441001621e+00
6.859728889038979593e-01 2.002847086662859510e+01 1.134455973520581473e+00 5.769502241671664144e+00
6.959420035418695250e-01 2.007295998997877717e+01 1.104418264017266171e+00 5.830543154376156778e+00
7.059111181798409795e-01 2.011694704400616018e+01 1.075125172998051992e+00 5.925951190594906492e+00
